trade_id;ticker;share_amount;entry_date;entry_price;initial_stop_loss;adr_percent;market_cap;portfolio_risk;sell_shares_price_1;sell_shares_amount_1;sell_shares_date_1;sell_shares_price_2;sell_shares_amount_2;sell_shares_date_2;sell_shares_price_3;sell_shares_amount_3;sell_shares_date_3;trello_trade_review;setup_rating;setup_chart;sell_datetime
29;NUE;152;2021-06-01;106.2800;104.6500;0.0421;33.1380;0.0025;;;;;;;104.6650;152.0;2021-06-02;;;;2021-06-02 13:24:35
30;IHRT;560;2021-06-01;23.7400;23.2600;0.0469;3.3690;0.0025;;;;;;;23.2000;560.0;2021-06-04;;;;2021-06-04 10:14:41
31;AR;1429;2021-06-01;13.4200;13.2600;0.0544;4.0610;0.0025;;;;;;;13.2350;1429.0;2021-06-02;;;;2021-06-02 09:32:03
32;HL;1836;2021-06-01;9.2800;9.1800;0.0633;4.9060;0.0025;;;;;;;9.1500;1836.0;2021-06-01;;;;2021-06-01 10:17:55
33;SMMT;570;2021-06-02;8.0800;7.6400;0.0983;0.6070;0.0025;;;;;;;7.5900;570.0;2021-06-08;;;;2021-06-08 11:23:23
34;IHT;394;2021-06-02;7.4020;7.1200;0.4371;0.0760;0.0010;;;;;;;7.0700;394.0;2021-06-03;;;;2021-06-03 09:49:02
35;CRTO;150;2021-06-03;38.5100;36.9000;0.0492;2.3850;0.0025;;;;43.9130;75.0;2021-06-08;39.8300;75.0;2021-06-10;;;;2021-06-10 15:56:09
36;WISA;910;2021-06-03;4.2990;4.0200;0.1471;0.0450;0.0025;;;;;;;4.3430;910.0;2021-06-09;;;;2021-06-09 15:57:07
37;PLUG;139;2021-06-03;31.5990;29.8100;0.0826;17.0670;0.0025;;;;;;;31.3900;139.0;2021-06-10;;;;2021-06-10 15:42:59
38;RCON;340;2021-06-03;12.6900;12.0000;0.1029;0.2500;0.0025;;;;;;;12.5730;340.0;2021-06-08;;;;2021-06-08 09:36:09
39;DQ;109;2021-06-03;78.9700;74.1300;0.0827;5.6200;0.0050;;;;;;;76.4450;109.0;2021-06-07;;;;2021-06-07 09:35:37
40;PLUG;350;2021-06-03;31.2660;30.5700;0.0826;17.0670;0.0025;;;;;;;30.5600;350.0;2021-06-03;;;;2021-06-03 09:38:59
41;ETWO;1067;2021-06-04;13.4300;13.1600;0.0640;3.0790;0.0025;;;;;;;13.1000;1067.0;2021-06-04;;;;2021-06-04 12:55:26
42;MNMD;2840;2021-06-07;3.3000;3.2000;0.0956;3.3520;0.0025;;;;;;;3.7300;2840.0;2021-06-14;;;;2021-06-14 09:50:26
43;OPRX;285;2021-06-17;53.9300;52.3000;0.0452;0.9270;0.0050;;;;;;;52.3850;285.0;2021-06-18;;;;2021-06-18 15:45:47
44;RUBY;320;2021-06-07;25.3280;24.5000;0.0749;2.3580;0.0025;;;;;;;25.7000;320.0;2021-06-16;;;;2021-06-16 15:58:04
45;PLBY;81;2021-06-07;49.0000;45.9200;0.1091;1.5410;0.0025;;;;;;;45.8000;81.0;2021-06-10;;;;2021-06-10 09:51:00
46;CROX;86;2021-06-07;106.4600;103.3100;0.0416;6.8410;0.0025;;;;;;;102.4300;86.0;2021-06-08;;;;2021-06-08 10:08:37
47;CAR;280;2021-06-08;90.0700;88.2900;0.0459;6.4170;0.0050;;;;;;;88.2300;280.0;2021-06-09;;;;2021-06-09 09:40:40
48;GNK;924;2021-06-09;16.8300;16.3700;0.0532;0.7290;0.0050;;;;18.6900;462.0;2021-06-14;17.7300;462.0;2021-06-15;;;;2021-06-15 10:12:50
49;CLF;1687;2021-06-09;20.7380;20.3900;0.0618;11.5960;0.0050;;;;23.2200;562.0;2021-06-09;21.0100;1125.0;2021-06-17;;;;2021-06-17 11:43:24
50;TMST;922;2021-06-09;15.7770;15.2300;0.0636;0.7170;0.0050;;;;;;;15.2230;922.0;2021-06-14;;;;2021-06-14 11:34:01
51;PLCE;146;2021-06-09;97.9600;94.6000;0.0649;1.4470;0.0050;;;;;;;94.5000;146.0;2021-06-10;;;;2021-06-10 11:39:15
52;TMST;1530;2021-06-09;15.6380;15.4400;0.0636;0.7170;0.0025;;;;;;;15.4310;1530.0;2021-06-09;;;;2021-06-09 09:40:33
53;CLF;645;2021-06-09;21.2800;20.5500;0.0618;11.5960;0.0050;;;;;;;20.4500;645.0;2021-06-09;;;;2021-06-09 09:58:32
54;LOVE;181;2021-06-10;87.7500;85.3000;0.0591;1.3130;0.0050;;;;;;;84.7500;181.0;2021-06-10;;;;2021-06-10 09:44:55
55;SAVA;139;2021-06-11;71.0950;67.9800;0.1080;3.0810;0.0050;90.2020;46.0;2021-06-21;103.0800;31.0;2021-07-13;82.7800;62.0;2021-07-15;;;;2021-07-15 15:54:27
56;CAR;220;2021-06-11;90.5700;88.2900;0.0439;6.5830;0.0050;;;;;;;90.2200;220.0;2021-06-15;;;;2021-06-15 11:44:07
57;TGLS;200;2021-06-11;21.5700;20.5900;0.0887;1.0830;0.0025;;;;;;;20.5320;200.0;2021-06-14;;;;2021-06-14 12:15:22
