trade_id;ticker;share_amount;entry_date;entry_price;initial_stop_loss;adr_percent;market_cap;portfolio_risk;sell_shares_price_1;sell_shares_amount_1;sell_shares_date_1;sell_shares_price_2;sell_shares_amount_2;sell_shares_date_2;sell_shares_price_3;sell_shares_amount_3;sell_shares_date_3;trello_trade_review;setup_rating;setup_chart;sell_datetime
146;FSLY;362;2021-10-26;51.2100;50.5700;0.0517;6.0360;0.0025;;;;;;;50.5555;362.0;2021-10-26;;;;2021-10-26 18:52:00
147;AEHR;442;2021-10-26;21.9800;21.3800;0.1113;0.6034;0.0025;;;;;;;21.3679;442.0;2021-10-26;;;;2021-10-26 17:47:00
148;REKR;532;2021-10-26;13.0950;12.6000;0.0832;0.5660;0.0025;;;;;;;12.3722;532.0;2021-10-27;;;;2021-10-27 15:31:00
149;ROCC;197;2021-10-26;33.9500;32.6900;0.0786;0.7040;0.0025;;;;;;;32.2200;197.0;2021-10-27;;;;2021-10-27 15:30:00
150;AEHR;245;2021-10-29;22.6949;21.6300;0.1136;0.6030;0.0025;;;;;;;21.6200;245.0;2021-11-02;;;;2021-11-02 14:41:00
151;SI;62;2021-10-29;160.2100;155.5200;0.0831;4.5650;0.0025;;;;;;;155.1629;62.0;2021-10-29;;;;2021-10-29 19:01:00
152;APPS;132;2021-10-29;88.2396;86.4500;0.0502;9.5350;0.0025;;;;;;;86.4600;132.0;2021-10-29;;;;2021-10-29 17:17:00
153;GWH;781;2021-10-29;16.8100;16.3400;0.1855;2.4250;0.0025;;;;;;;16.9114;781.0;2021-11-08;;;;2021-11-08 21:55:00
154;VET;1562;2021-11-01;11.0800;10.9200;0.0433;1.7950;0.0025;;;;;;;10.9200;1562.0;2021-11-02;yes;;;2021-11-02 14:45:00
155;SD;460;2021-11-01;13.5080;12.9760;0.0720;0.4740;0.0025;;;;;;;12.9500;460.0;2021-11-02;yes;;;2021-11-02 14:43:00
156;TRKA;4348;2021-11-02;2.1900;2.0500;0.2430;0.0900;0.0050;;;;;;;1.9747;4348.0;2021-11-02;yes;;;2021-11-02 14:47:00
157;HIVE;4217;2021-11-02;3.9900;3.8900;0.0788;1.5470;0.0050;4.4636;1405.0;2021-11-05;;;;4.0800;2812.0;2021-11-12;yes;;;2021-11-12 16:21:00
158;BITF;3131;2021-11-02;5.8300;5.6800;0.0694;0.9810;0.0050;7.3800;1043.0;2021-11-05;8.6883;600.0;2021-11-10;7.4500;1488.0;2021-11-22;yes;;;2021-11-22 21:56:00
159;MSTR;26;2021-11-02;761.1500;741.0000;0.0432;7.8210;0.0050;857.1300;8.0;2021-11-10;;;;760.0300;18.0;2021-11-16;;;;2021-11-16 16:06:00
160;UPST;56;2021-11-02;355.2600;347.9500;0.0680;26.7330;0.0050;;;;;;;347.0800;56.0;2021-11-02;yes;;;2021-11-02 14:43:00
161;BB;1682;2021-11-03;11.8800;11.6600;0.0507;6.6400;0.0050;;;;;;;11.6600;1682.0;2021-11-03;yes;;;2021-11-03 18:21:00
162;BB;1688;2021-11-03;11.8700;11.6100;0.0510;6.6400;0.0050;;;;;;;11.6100;1688.0;2021-11-03;yes;;;2021-11-03 14:39:00
163;XPEV;410;2021-11-04;48.6500;47.8000;0.0483;40.9720;0.0050;;;;;;;47.7820;410.0;2021-11-04;yes;;;2021-11-04 14:48:00
164;PLL;197;2021-11-04;67.8100;65.2200;0.0516;1.0210;0.0050;;;;;;;65.1900;197.0;2021-11-05;yes;;;2021-11-05 14:41:00
165;NIU;725;2021-11-04;27.5900;27.2000;0.0399;2.0550;0.0050;;;;;;;27.0500;725.0;2021-11-04;yes;;;2021-11-04 14:50:00
166;BTBT;979;2021-11-04;12.3262;11.7800;0.1165;0.8160;0.0050;;;;;;;11.7529;979.0;2021-11-04;yes;;;2021-11-04 16:01:00
167;LICY;1552;2021-11-08;12.8940;12.8000;0.0517;2.0500;0.0050;;;;;;;12.7512;1552.0;2021-11-09;yes;;;2021-11-09 15:55:00
168;EQOS;2041;2021-11-08;6.1305;5.9000;0.1541;0.2100;0.0050;;;;;;;5.8200;2041.0;2021-11-08;yes;;;2021-11-08 15:43:00
169;GEVO;2621;2021-11-08;7.6362;7.4800;0.0612;1.5500;0.0050;;;;;;;7.4807;2621.0;2021-11-09;yes;;;2021-11-09 15:39:00
170;PERI;365;2021-11-08;30.3886;28.8400;0.0699;1.0010;0.0050;;;;;;;28.7627;365.0;2021-11-09;;;;2021-11-09 15:55:00
171;HUT;767;2021-11-08;15.5756;14.8900;0.0957;2.2880;0.0050;;;;;;;14.8913;767.0;2021-11-09;;;;2021-11-09 18:19:00
172;CAN;1492;2021-11-08;9.5506;9.1500;0.0903;1.4950;0.0050;;;;10.3500;497.0;2021-11-15;9.5200;995.0;2021-11-16;;;;2021-11-16 15:45:00
173;BTBT;869;2021-11-08;12.3400;11.7249;0.1165;0.8160;0.0050;;;;;;;11.7022;869.0;2021-11-08;;;;2021-11-08 20:45:00
174;AGC;1584;2021-11-09;12.6340;12.3500;0.0940;0.9750;0.0050;13.8073;528.0;2021-11-09;14.6074;352.0;2021-11-10;13.7040;704.0;2021-11-17;;;;2021-11-17 21:55:00
175;ASAN;141;2021-11-09;141.7300;138.7200;0.0650;24.9080;0.0050;;;;;;;138.5700;141.0;2021-11-09;;;;2021-11-09 15:59:00
176;MOGO;2000;2021-11-10;6.2600;6.0100;0.0837;0.4340;0.0050;;;;;;;6.0102;2000.0;2021-11-10;;;;2021-11-10 16:05:00
177;SEDG;36;2021-11-11;360.5800;345.7000;0.0410;18.9290;0.0050;;;;;;;344.9900;36.0;2021-11-23;;;;2021-11-23 16:56:00
178;BBBY;413;2021-11-11;23.2000;21.9100;0.0925;2.3110;0.0050;;;;;;;21.8850;413.0;2021-11-15;;;;2021-11-15 15:53:00
179;KNBE;438;2021-11-11;29.0300;27.8000;0.0618;4.1570;0.0050;;;;;;;27.7700;438.0;2021-11-11;yes;;;2021-11-11 16:41:00
180;UROY;1753;2021-11-11;5.7356;5.4600;0.0839;0.4310;0.0050;;;;;;;5.4500;1753.0;2021-11-12;;;;2021-11-12 16:24:00
181;PERI;552;2021-11-11;29.7500;28.9000;0.0737;0.9420;0.0050;;;;;;;28.8700;552.0;2021-11-12;;;;2021-11-12 16:32:00
182;XPEV;393;2021-11-12;50.1400;49.0000;0.0529;42.8530;0.0050;;;;;;;48.9300;393.0;2021-11-12;yes;;;2021-11-12 15:43:00
183;PTLO;296;2021-11-12;46.3300;44.5300;0.1400;13.5520;0.0050;;;;54.3400;100.0;2021-11-17;44.4000;196.0;2021-11-18;;;;2021-11-18 15:31:00
184;ASAN;139;2021-11-12;137.7200;133.4300;0.0663;25.2550;0.0050;;;;;;;132.9000;139.0;2021-11-16;;;;2021-11-16 15:34:00
185;ATEN;779;2021-11-12;16.8200;16.2000;0.0527;1.2690;0.0050;;;;;;;16.1830;779.0;2021-11-15;;;;2021-11-15 15:38:00
186;DWAC;179;2021-11-12;60.2700;57.4300;0.3844;2.0200;0.0050;;;;;;;58.2700;179.0;2021-11-17;;;;2021-11-17 21:56:00
187;GME;52;2021-11-15;211.0600;201.6900;0.0718;16.1530;0.0050;;;;236.7000;26.0;2021-11-22;204.3000;26.0;2021-11-23;;;;2021-11-23 15:57:00
188;ZIM;366;2021-11-17;54.3200;52.8200;0.0535;6.4320;0.0050;;;;;;;52.6500;366.0;2021-11-17;;;;2021-11-17 15:45:00
189;BBBY;509;2021-11-17;24.1100;22.8100;0.0950;2.3100;0.0050;;;;;;;22.6682;509.0;2021-11-17;;;;2021-11-17 20:26:00
190;MULN;335;2021-11-17;15.2800;13.8300;0.1747;0.0650;0.0050;;;;;;;13.7767;335.0;2021-11-17;;;;2021-11-17 16:26:00
191;VLD;1067;2021-11-17;12.0500;11.5100;0.0931;2.3350;0.0050;;;;;;;11.4538;1067.0;2021-11-19;;;;2021-11-19 17:07:00
192;ARCB;141;2021-11-16;113.1900;109.4600;0.0523;2.8070;0.0050;;;;;;;109.3000;141.0;2021-11-18;;;;2021-11-18 16:08:00
193;ARQQ;558;2021-11-18;27.3190;26.3000;0.1667;3.0870;0.0050;;;;;;;26.4100;558.0;2021-11-18;;;;2021-11-18 15:41:00
194;ATEN;844;2021-11-19;17.2300;16.5800;0.0580;1.3430;0.0050;;;;;;;16.5843;844.0;2021-11-19;;;;2021-11-19 15:52:00
196;XPEV;406;2021-11-22;48.4384;47.7800;0.0551;32.8490;0.0025;;;;;;;48.5000;406.0;2021-11-22;;;;2021-11-22 15:40:00
197;NVAX;90;2021-11-26;219.5272;213.5000;0.0730;16.5820;0.0050;;;;;;;213.1500;90.0;2021-11-29;;;;2021-11-29 15:51:00
198;TTD;116;2021-11-30;109.4200;107.0400;0.0690;49.7030;0.0025;;;;;;;106.9750;116.0;2021-11-30;;;;2021-11-30 16:48:00
199;QCOM;89;2021-12-13;188.7800;186.6500;0.0339;209.2720;0.0020;;;;;;;186.5300;89.0;2021-12-13;;;;2021-12-13 16:39:00
200;ARCB;143;2021-12-13;110.0000;108.4200;0.0425;2.8040;0.0020;;;;;;;108.3200;143.0;2021-12-13;;;;2021-12-13 15:39:00
201;F;947;2021-12-16;20.7700;20.5500;0.0422;84.1210;0.0020;;;;;;;20.5118;947.0;2021-12-16;;;;2021-12-16 18:37:00
202;NVDA;81;2022-01-04;302.4600;300.6000;0.0481;757.6750;0.0025;;;;;;;300.5500;81.0;2022-01-04;;;;2022-01-04 15:51:00
203;AR;182;2022-01-10;19.4000;18.9400;0.0469;6.0900;0.0010;;;;;;;18.9100;182.0;2022-01-10;;;;2022-01-10 15:59:00
204;VET;743;2022-02-04;16.4200;16.2400;0.0495;2.6520;0.0010;;;;;;;16.4140;743.0;2022-02-04;"one of the leaders in Oil sector;
moved stop to break-even at same day cause Im cautious";;;2022-02-04 17:12:00
205;SLB;131;2022-02-10;39.8300;39.1400;0.0436;55.8690;0.0010;;;;;;;39.1438;131.0;2022-02-10;became pretty tight and caught between EMA10 and upper trend line;;;2022-02-10 21:22:00
206;KODK;1231;2022-03-09;4.8300;4.7500;0.0488;0.3790;0.0010;;;;;;;4.6527;1231.0;2022-03-10;;;;2022-03-10 15:33:00
207;SBLK;68;2022-03-11;30.7800;29.7400;0.0712;3.1530;0.0010;;;;;;;29.6900;68.0;2022-03-11;;;;2022-03-11 16:16:00
208;GOGL;326;2022-03-11;12.2700;12.0300;0.0483;2.4750;0.0010;;;;;;;12.0350;326.0;2022-03-11;;;;2022-03-11 21:58:00
209;KR;73;2022-03-21;57.0700;55.9700;0.0399;42.0640;0.0010;;;;;;;55.9500;73.0;2022-03-21;;;;2022-03-21 16:44:00
210;ATI;89;2022-03-21;27.1900;26.2600;0.0474;3.4160;0.0010;;;;;;;26.2500;89.0;2022-03-21;;;;2022-03-21 16:19:00
211;NUE;26;2022-03-21;141.0000;137.8700;0.0515;37.8860;0.0010;152.4600;8.0;2022-03-28;170.6000;9.0;2022-04-19;;;;;;;1970-01-01 00:00:00
212;MOS;55;2022-03-21;65.6500;64.1500;0.0698;24.4450;0.0010;;;;;;;60.7400;55.0;2022-03-29;;;;2022-03-29 15:34:00
213;HP;95;2022-03-21;41.6400;40.7500;0.0547;4.3890;0.0010;;;;;;;40.7300;95.0;2022-03-22;;;;2022-03-22 16:12:00
214;NOVA;103;2022-03-22;25.5900;24.7400;0.0897;2.9060;0.0010;;;;;;;24.7036;103.0;2022-03-22;;;;2022-03-22 14:51:00
215;SPWR;108;2022-03-22;21.1800;20.3100;0.0801;3.7030;0.0010;;;;;;;21.3750;108.0;2022-04-08;;;;2022-04-08 21:09:00
216;SEDG;11;2022-03-22;320.8500;313.4700;0.0799;16.8970;0.0010;;;;;;;313.0200;11.0;2022-03-29;;;;2022-03-29 15:39:00
217;FSLR;90;2022-03-22;78.5300;77.4900;0.0548;8.3430;0.0010;84.2500;30.0;2022-03-28;;;;80.2500;60.0;2022-04-05;;;;2022-04-05 00:00:00
218;PTEN;250;2022-03-23;15.5300;15.2200;0.0535;3.3540;0.0010;;;;;;;15.2200;250.0;2022-03-23;;;;2022-03-23 14:52:00
219;NEX;571;2022-03-23;9.1100;8.9500;0.0505;2.2120;0.0010;;;;;;;8.9400;571.0;2022-03-23;;;;2022-03-23 14:50:00
220;NEX;308;2022-03-23;9.1700;8.8900;0.0510;2.2120;0.0010;;;;;;;8.8900;308.0;2022-03-24;;;;2022-03-24 14:34:00
221;PTEN;250;2022-03-23;15.5250;15.2100;0.0540;3.3540;0.0010;;;;;;;15.2100;250.0;2022-03-23;;;;2022-03-23 17:44:00
222;VTNR;254;2022-03-25;9.2400;8.9200;0.1031;0.5810;0.0010;;;;;;;8.8737;254.0;2022-03-29;;;;2022-03-29 15:32:00
223;HP;54;2022-03-25;42.7600;41.2400;0.0534;4.5030;0.0010;;;;;;;41.0500;54.0;2022-03-29;;;;2022-03-29 15:30:00
224;SGFY;143;2022-03-28;18.0100;17.4200;0.0694;4.2110;0.0010;;;;;;;17.4000;143.0;2022-03-28;;;;2022-03-28 16:20:00
225;GOGL;556;2022-03-28;12.3500;11.9800;0.0431;2.5030;0.0025;;;;;;;11.9800;556.0;2022-03-29;;;;2022-03-29 15:30:00
226;SG;125;2022-03-29;36.7200;34.9000;0.1147;4.0320;0.0025;;;;;;;34.7500;125.0;2022-03-29;;;;2022-03-29 16:12:00
227;CLNE;1479;2022-03-30;8.0400;7.8900;0.0572;1.8290;0.0025;;;;;;;7.8947;1479.0;2022-04-01;;;;2022-04-01 18:16:00
228;SBLK;300;2022-03-30;30.5800;30.0100;0.0577;3.0540;0.0025;;;;;;;30.0500;300.0;2022-03-30;;;;2022-03-30 15:42:00
229;MRC;667;2022-03-30;12.0800;11.7700;0.0498;0.9890;0.0025;;;;;;;11.7450;667.0;2022-03-30;;;;2022-03-30 16:22:00
230;AMR;30;2022-03-30;137.0900;130.3300;0.0905;2.5080;0.0025;;;;;;;129.7440;30.0;2022-03-30;;;;2022-03-30 17:25:00
231;DRQ;317;2022-03-30;36.4600;35.8700;0.0564;1.2490;0.0025;;;;;;;35.9000;317.0;2022-03-30;;;;2022-03-30 15:45:00
232;NINE;714;2022-03-30;3.8500;3.5400;0.2696;0.1250;0.0025;;;;;;;3.4700;714.0;2022-03-30;;;;2022-03-30 16:45:00
233;TASK;202;2022-03-30;39.5300;38.5500;0.0742;3.8540;0.0025;;;;;;;38.2100;202.0;2022-03-31;;;;2022-03-31 15:31:00
234;NTR;220;2022-04-12;109.3500;108.2600;0.0365;59.9970;0.0025;;;;;;;108.2746;220.0;2022-04-12;;;;2022-04-12 16:08:00
235;SLCA;357;2022-04-12;20.0300;19.4700;0.0575;1.5090;0.0025;;;;;;;;;;;;;1970-01-01 00:00:00
236;STLD;124;2022-04-12;86.0100;84.3800;0.0407;16.2600;0.0025;;;;;;;84.3931;124.0;2022-04-12;;;;2022-04-12 19:54:00
